ม๖มก,ม๖มกธํ,ภฯฝร,รึภ๚ฑโฟย(กฦC),รึฐํฑโฟย(กฦC),ภฯฐญผ๖ทฎ(mm),ฦ๒ฑี วณผำ(m/s),ฦ๒ฑี ป๓ด๋ฝภตต(%),ภฯ รึฝษฝลภ๛ผณ(cm),ฦ๒ฑี ภüฟ๎ทฎ(1/10),พศฐณ ฐ่ผำฝรฐฃ(hr),ภฯ นฬผผธีม๖ ณ๓ตต(งถ/งฉ)
175,ม๘ตต(รทย๛ป๊),2002-04-16,8.0,17.6,9.5,10.3,98.9,,9.3,21.67,
175,ม๘ตต(รทย๛ป๊),2002-04-17,5.3,12.3,,9.0,59.5,,5.8,,
175,ม๘ตต(รทย๛ป๊),2002-04-18,4.6,13.1,,5.7,55.8,,4.0,,
175,ม๘ตต(รทย๛ป๊),2002-04-19,6.9,17.8,,5.2,41.1,,3.8,,
175,ม๘ตต(รทย๛ป๊),2002-04-20,9.1,17.1,3.5,6.1,82.8,,8.0,8.17,
175,ม๘ตต(รทย๛ป๊),2002-04-21,11.4,24.2,0.2,2.6,81.3,,3.0,4.83,
175,ม๘ตต(รทย๛ป๊),2002-04-22,13.6,20.3,9.4,6.5,93.0,,5.6,7.83,
175,ม๘ตต(รทย๛ป๊),2002-04-23,7.9,18.7,10.0,5.7,96.5,,8.6,18.67,
175,ม๘ตต(รทย๛ป๊),2002-04-24,3.6,11.5,,11.3,78.4,,4.4,2.5,
175,ม๘ตต(รทย๛ป๊),2002-04-25,3.6,14.6,,3.4,69.4,,3.8,,
175,ม๘ตต(รทย๛ป๊),2002-04-26,7.0,17.6,,2.2,70.6,,1.1,,
175,ม๘ตต(รทย๛ป๊),2002-04-27,7.1,16.2,,5.4,69.8,,5.8,,
175,ม๘ตต(รทย๛ป๊),2002-04-28,9.6,16.5,0.3,8.6,85.9,,8.3,1.83,
175,ม๘ตต(รทย๛ป๊),2002-04-29,10.9,17.9,5.0,10.9,98.4,,10.0,18.5,
175,ม๘ตต(รทย๛ป๊),2002-04-30,15.3,18.2,7.0,6.0,99.0,,10.0,24.0,
175,ม๘ตต(รทย๛ป๊),2002-05-01,11.9,16.5,1.0,6.1,90.9,,8.5,14.75,
